año,Estacion,semana epidemiologica,"AVERAGE de Temp, M","AVERAGE de Temp, m",AVERAGE de Precip,AVERAGE de Hum
2024,9 DE JULIO_Buenos Aires,1,"30,90","17,73","2,47","66,56"
2024,9 DE JULIO_Buenos Aires,2,"30,26","16,40","2,13","60,14"
2024,9 DE JULIO_Buenos Aires,3,"30,26","15,39","1,23","58,14"
2024,9 DE JULIO_Buenos Aires,4,"32,16","15,74","0,00","51,14"
2024,9 DE JULIO_Buenos Aires,5,"36,31","18,90","0,00","47,43"
2024,9 DE JULIO_Buenos Aires,6,"31,66","19,80","7,74","74,57"
2024,9 DE JULIO_Buenos Aires,7,"28,06","13,97","0,07","62,43"
2024,9 DE JULIO_Buenos Aires,8,"30,41","17,39","1,86","63,29"
2024,9 DE JULIO_Buenos Aires,9,"30,07","17,90","0,69","63,29"
2024,9 DE JULIO_Buenos Aires,10,"27,91","14,34","3,03","61,57"
2024,9 DE JULIO_Buenos Aires,11,"27,01","17,31","9,41","83,33"
2024,9 DE JULIO_Buenos Aires,12,"25,50","14,17","5,79","76,43"
2024,9 DE JULIO_Buenos Aires,13,"28,63","15,31","0,00","68,71"
2024,9 DE JULIO_Buenos Aires,14,"26,53","11,80","0,00","62,71"
2024,9 DE JULIO_Buenos Aires,15,"19,41","11,63","14,43","81,00"
2024,9 DE JULIO_Buenos Aires,16,"23,90","13,30","18,29","74,14"
2024,9 DE JULIO_Buenos Aires,17,"19,79","8,90","4,26","69,86"
2024,9 DE JULIO_Buenos Aires,18,"19,21","8,20","0,84","70,14"
2024,9 DE JULIO_Buenos Aires,19,"16,31","6,29","0,10","72,71"
2024,9 DE JULIO_Buenos Aires,20,"15,26","1,76","0,00","73,29"
2024,9 DE JULIO_Buenos Aires,21,"13,70","3,93","0,00","71,71"
2024,9 DE JULIO_Buenos Aires,22,"16,19","5,40","0,00","74,86"
2024,9 DE JULIO_Buenos Aires,23,"18,33","7,74","0,00","78,57"
2024,9 DE JULIO_Buenos Aires,24,"20,54","9,09","0,00","74,14"
2024,9 DE JULIO_Buenos Aires,25,"16,50","7,00","2,14","77,57"
2024,9 DE JULIO_Buenos Aires,26,"12,60","1,03","0,00","69,43"
2024,9 DE JULIO_Buenos Aires,27,"13,57","-0,81","0,00","62,43"
2024,9 DE JULIO_Buenos Aires,28,"12,27","-2,83","0,00","68,00"
2024,9 DE JULIO_Buenos Aires,29,"14,74","4,44","0,04","79,57"
2024,9 DE JULIO_Buenos Aires,30,"19,06","6,00","0,00","62,29"
2024,9 DE JULIO_Buenos Aires,31,"20,30","7,71","0,31","62,00"
2024,9 DE JULIO_Buenos Aires,32,"14,21","4,29","2,47","73,43"
2024,9 DE JULIO_Buenos Aires,33,"17,63","4,50","0,00","65,57"
2024,9 DE JULIO_Buenos Aires,34,"12,49","3,91","1,44","77,00"
2024,9 DE JULIO_Buenos Aires,35,"16,87","4,67","5,00","72,14"
2024,9 DE JULIO_Buenos Aires,36,"21,61","6,66","0,00","55,00"
2024,9 DE JULIO_Buenos Aires,37,"21,30","6,97","0,00","61,71"
2024,9 DE JULIO_Buenos Aires,38,"25,27","12,03","0,71","56,57"
2024,9 DE JULIO_Buenos Aires,39,"24,63","8,93","0,00","49,57"
2024,9 DE JULIO_Buenos Aires,40,"23,74","8,93","0,00","55,57"
2024,9 DE JULIO_Buenos Aires,41,"23,94","10,90","0,00","66,00"
2024,9 DE JULIO_Buenos Aires,42,"27,69","12,39","1,14","61,71"
2024,9 DE JULIO_Buenos Aires,43,"26,76","13,06","17,00","62,57"
2024,9 DE JULIO_Buenos Aires,44,"30,79","14,44","6,91","57,00"
2024,9 DE JULIO_Buenos Aires,45,"26,06","10,96","4,83","64,00"
2024,9 DE JULIO_Buenos Aires,46,"27,54","12,30","6,46","52,86"
2024,9 DE JULIO_Buenos Aires,47,"28,20","12,19","0,99","58,57"
2024,9 DE JULIO_Buenos Aires,48,"27,93","15,01","11,53","69,00"
2024,9 DE JULIO_Buenos Aires,49,"25,84","10,29","0,86","48,86"
2024,9 DE JULIO_Buenos Aires,50,"29,76","14,01","1,50","52,43"
2024,9 DE JULIO_Buenos Aires,51,"29,29","13,60","0,04","50,86"
2024,9 DE JULIO_Buenos Aires,52,"28,63","13,07","2,99","60,29"
2024,AZUL_Buenos Aires,1,"28,70","15,68","2,07","73,56"
2024,AZUL_Buenos Aires,2,"28,14","13,53","1,19","67,57"
2024,AZUL_Buenos Aires,3,"29,86","13,24","0,00","61,29"
2024,AZUL_Buenos Aires,4,"31,37","14,84","0,00","57,43"
2024,AZUL_Buenos Aires,5,"34,16","17,13","1,86","55,57"
2024,AZUL_Buenos Aires,6,"26,41","18,37","20,34","88,29"
2024,AZUL_Buenos Aires,7,"26,44","12,94","0,00","77,57"
2024,AZUL_Buenos Aires,8,"28,00","14,53","0,00","78,57"
2024,AZUL_Buenos Aires,9,"27,94","12,94","0,66","73,86"
2024,AZUL_Buenos Aires,10,"25,80","9,53","11,86","72,29"
2024,AZUL_Buenos Aires,11,"24,34","14,93","24,81","85,00"
2024,AZUL_Buenos Aires,12,"23,23","13,24","5,00","78,57"
2024,AZUL_Buenos Aires,13,"24,83","12,67","0,76","79,57"
2024,AZUL_Buenos Aires,14,"24,14","8,60","0,00","73,29"
2024,AZUL_Buenos Aires,15,"18,40","10,07","8,71","82,57"
2024,AZUL_Buenos Aires,16,"21,50","11,67","6,77","79,00"
2024,AZUL_Buenos Aires,17,"17,30","6,69","1,59","75,14"
2024,AZUL_Buenos Aires,18,"17,27","6,16","1,60","73,00"
2024,AZUL_Buenos Aires,19,"15,37","4,41","1,74","82,00"
2024,AZUL_Buenos Aires,20,"12,83","0,96","0,00","80,14"
2024,AZUL_Buenos Aires,21,"12,64","1,59","0,00","80,71"
2024,AZUL_Buenos Aires,22,"13,59","3,44","0,00","85,71"
2024,AZUL_Buenos Aires,23,"16,26","6,63","0,86","85,00"
2024,AZUL_Buenos Aires,24,"18,96","7,04","0,03","80,43"
2024,AZUL_Buenos Aires,25,"14,24","4,41","0,41","84,14"
2024,AZUL_Buenos Aires,26,"10,44","0,63","0,06","75,00"
2024,AZUL_Buenos Aires,27,"11,10","-1,26","0,00","69,86"
2024,AZUL_Buenos Aires,28,"10,96","-6,17","0,00","76,29"
2024,AZUL_Buenos Aires,29,"13,60","1,73","0,60","80,71"
2024,AZUL_Buenos Aires,30,"17,11","1,09","0,00","73,71"
2024,AZUL_Buenos Aires,31,"18,23","5,36","0,36","64,86"
2024,AZUL_Buenos Aires,32,"13,09","3,59","2,61","78,57"
2024,AZUL_Buenos Aires,33,"15,50","1,59","0,00","75,71"
2024,AZUL_Buenos Aires,34,"11,36","0,19","2,81","82,00"
2024,AZUL_Buenos Aires,35,"15,61","1,36","2,84","74,71"
2024,AZUL_Buenos Aires,36,"19,33","2,90","0,00","63,14"
2024,AZUL_Buenos Aires,37,"18,51","2,47","0,21","69,14"
2024,AZUL_Buenos Aires,38,"22,26","7,97","2,76","67,57"
2024,AZUL_Buenos Aires,39,"21,87","4,63","0,09","61,57"
2024,AZUL_Buenos Aires,40,"20,36","4,66","0,00","66,57"
2024,AZUL_Buenos Aires,41,"21,74","6,50","0,00","72,29"
2024,AZUL_Buenos Aires,42,"25,96","8,90","1,00","68,14"
2024,AZUL_Buenos Aires,43,"24,24","9,39","5,77","70,29"
2024,AZUL_Buenos Aires,44,"28,33","12,34","19,57","66,71"
2024,AZUL_Buenos Aires,45,"23,67","10,33","3,86","70,14"
2024,AZUL_Buenos Aires,46,"24,81","10,86","5,86","66,43"
2024,AZUL_Buenos Aires,47,"25,06","11,23","2,86","76,43"
2024,AZUL_Buenos Aires,48,"24,94","12,90","9,14","76,00"
2024,AZUL_Buenos Aires,49,"21,97","9,43","0,64","66,00"
2024,AZUL_Buenos Aires,50,"28,46","13,79","0,06","60,57"
2024,AZUL_Buenos Aires,51,"27,06","11,94","0,07","63,00"
2024,AZUL_Buenos Aires,52,"26,31","12,46","4,23","69,57"
2024,BAHÍA BLANCA_Buenos Aires,1,"31,63","17,87","4,99","56,78"
2024,BAHÍA BLANCA_Buenos Aires,2,"28,71","15,21","0,09","49,86"
2024,BAHÍA BLANCA_Buenos Aires,3,"33,54","16,74","0,11","44,86"
2024,BAHÍA BLANCA_Buenos Aires,4,"36,81","21,19","0,00","34,71"
2024,BAHÍA BLANCA_Buenos Aires,5,"35,23","18,53","4,03","51,14"
2024,BAHÍA BLANCA_Buenos Aires,6,"32,51","20,77","1,74","67,86"
2024,BAHÍA BLANCA_Buenos Aires,7,"30,86","14,49","0,00","56,43"
2024,BAHÍA BLANCA_Buenos Aires,8,"31,23","14,71","1,10","57,29"
2024,BAHÍA BLANCA_Buenos Aires,9,"30,41","15,19","0,74","56,57"
2024,BAHÍA BLANCA_Buenos Aires,10,"28,44","14,04","0,57","55,71"
2024,BAHÍA BLANCA_Buenos Aires,11,"29,76","15,10","2,01","54,43"
2024,BAHÍA BLANCA_Buenos Aires,12,"26,34","12,00","0,00","56,29"
2024,BAHÍA BLANCA_Buenos Aires,13,"27,17","14,57","1,29","67,00"
2024,BAHÍA BLANCA_Buenos Aires,14,"26,17","10,01","0,00","47,43"
2024,BAHÍA BLANCA_Buenos Aires,15,"20,06","11,14","3,29","71,14"
2024,BAHÍA BLANCA_Buenos Aires,16,"19,83","11,60","8,17","75,57"
2024,BAHÍA BLANCA_Buenos Aires,17,"18,10","7,89","2,71","65,14"
2024,BAHÍA BLANCA_Buenos Aires,18,"17,81","6,36","0,11","60,14"
2024,BAHÍA BLANCA_Buenos Aires,19,"16,50","4,44","0,51","74,43"
2024,BAHÍA BLANCA_Buenos Aires,20,,"2,20","0,80","84,71"
2024,BAHÍA BLANCA_Buenos Aires,21,,"1,47","0,20","76,00"
2024,BAHÍA BLANCA_Buenos Aires,22,,"3,26","0,03","72,57"
2024,BAHÍA BLANCA_Buenos Aires,23,,"7,59","1,04","74,71"
2024,BAHÍA BLANCA_Buenos Aires,24,,"6,66","0,07","74,57"
2024,BAHÍA BLANCA_Buenos Aires,25,,"4,59","4,07","79,86"
2024,BAHÍA BLANCA_Buenos Aires,26,,"1,70","0,17","75,14"
2024,BAHÍA BLANCA_Buenos Aires,27,,"0,96","0,00","65,14"
2024,BAHÍA BLANCA_Buenos Aires,28,,"-1,61","0,00","72,57"
2024,BAHÍA BLANCA_Buenos Aires,29,"12,15","3,06","0,00","72,29"
2024,BAHÍA BLANCA_Buenos Aires,30,"18,71","3,04","0,00","56,43"
2024,BAHÍA BLANCA_Buenos Aires,31,"18,70","6,44","0,00","55,57"
2024,BAHÍA BLANCA_Buenos Aires,32,"14,93","4,01","5,79","71,43"
2024,BAHÍA BLANCA_Buenos Aires,33,"14,84","3,09","0,00","77,43"
2024,BAHÍA BLANCA_Buenos Aires,34,"11,03","0,03","1,41","82,57"
2024,BAHÍA BLANCA_Buenos Aires,35,"17,31","2,36","0,00","67,14"
2024,BAHÍA BLANCA_Buenos Aires,36,"19,51","2,40","0,29","52,00"
2024,BAHÍA BLANCA_Buenos Aires,37,"18,87","4,86","0,71","66,29"
2024,BAHÍA BLANCA_Buenos Aires,38,"22,67","8,60","3,41","55,71"
2024,BAHÍA BLANCA_Buenos Aires,39,"21,60","4,94","1,14","60,00"
2024,BAHÍA BLANCA_Buenos Aires,40,"21,51","5,17","0,04","61,14"
2024,BAHÍA BLANCA_Buenos Aires,41,"23,40","7,71","0,00","62,43"
2024,BAHÍA BLANCA_Buenos Aires,42,"26,76","12,47","5,09","69,86"
2024,BAHÍA BLANCA_Buenos Aires,43,"25,10","9,90","0,43","63,14"
2024,BAHÍA BLANCA_Buenos Aires,44,"31,16","15,56","2,57","48,43"
2024,BAHÍA BLANCA_Buenos Aires,45,"25,51","10,31","2,76","56,29"
2024,BAHÍA BLANCA_Buenos Aires,46,"26,23","11,20","0,43","54,86"
2024,BAHÍA BLANCA_Buenos Aires,47,"30,03","14,01","1,14","53,00"
2024,BAHÍA BLANCA_Buenos Aires,48,"27,14","11,19","3,07","59,00"
2024,BAHÍA BLANCA_Buenos Aires,49,"24,40","7,23","0,90","61,14"
2024,BAHÍA BLANCA_Buenos Aires,50,"30,11","13,93","2,53","61,14"
2024,BAHÍA BLANCA_Buenos Aires,51,"30,53","13,37","0,14","42,14"
2024,BAHÍA BLANCA_Buenos Aires,52,"29,70","13,41","3,67","58,29"
2024,BENITO JUÁREZ_Buenos Aires,1,"29,08","15,39","11,22","66,78"
2024,BENITO JUÁREZ_Buenos Aires,2,"27,71","12,96","0,07","63,86"
2024,BENITO JUÁREZ_Buenos Aires,3,"30,27","13,39","0,00","57,14"
2024,BENITO JUÁREZ_Buenos Aires,4,"31,67","15,61","0,00","52,00"
2024,BENITO JUÁREZ_Buenos Aires,5,"33,71","17,61","0,31","49,86"
2024,BENITO JUÁREZ_Buenos Aires,6,"26,41","18,13","17,57","87,86"
2024,BENITO JUÁREZ_Buenos Aires,7,"26,50","13,63","0,00","73,57"
2024,BENITO JUÁREZ_Buenos Aires,8,"27,67","14,19","1,14","74,00"
2024,BENITO JUÁREZ_Buenos Aires,9,"27,36","13,57","1,57","67,29"
2024,BENITO JUÁREZ_Buenos Aires,10,"25,23","10,69","3,34","68,71"
2024,BENITO JUÁREZ_Buenos Aires,11,"24,63","14,29","3,36","76,71"
2024,BENITO JUÁREZ_Buenos Aires,12,"23,26","11,99","5,14","74,57"
2024,BENITO JUÁREZ_Buenos Aires,13,"23,51","12,80","1,00","78,71"
2024,BENITO JUÁREZ_Buenos Aires,14,"23,54","8,53","0,00","66,00"
2024,BENITO JUÁREZ_Buenos Aires,15,"18,06","8,36","3,86","83,00"
2024,BENITO JUÁREZ_Buenos Aires,16,"20,50","10,61","5,00","77,29"
2024,BENITO JUÁREZ_Buenos Aires,17,"16,81","5,41","1,04","70,86"
2024,BENITO JUÁREZ_Buenos Aires,18,"16,17","4,59","0,20","67,86"
2024,BENITO JUÁREZ_Buenos Aires,19,"14,84","4,71","0,31","77,86"
2024,BENITO JUÁREZ_Buenos Aires,20,"12,19","0,87","0,17","78,29"
2024,BENITO JUÁREZ_Buenos Aires,21,"11,87","0,34","0,04","81,29"
2024,BENITO JUÁREZ_Buenos Aires,22,"13,87","2,81","0,00","77,43"
2024,BENITO JUÁREZ_Buenos Aires,23,"15,56","6,21","2,17","83,00"
2024,BENITO JUÁREZ_Buenos Aires,24,"18,01","6,47","0,01","76,43"
