año,Estacion,semana epidemiologica,"AVERAGE de Temp, M","AVERAGE de Temp, m",AVERAGE de Precip,AVERAGE de Hum
2022,9 DE JULIO_Buenos Aires,1,"32,43","16,89","0,00","50,57"
2022,9 DE JULIO_Buenos Aires,2,"39,57","20,94","0,29","41,00"
2022,9 DE JULIO_Buenos Aires,3,"25,44","17,70","38,50","85,00"
2022,9 DE JULIO_Buenos Aires,4,"29,50","17,33","5,86","63,57"
2022,9 DE JULIO_Buenos Aires,5,"27,13","15,44","2,57","64,71"
2022,9 DE JULIO_Buenos Aires,6,"26,81","13,16","1,43","64,29"
2022,9 DE JULIO_Buenos Aires,7,"29,39","15,14","1,71","61,71"
2022,9 DE JULIO_Buenos Aires,8,"27,43","16,00","6,23","74,00"
2022,9 DE JULIO_Buenos Aires,9,"28,21","15,86","4,00","68,86"
2022,9 DE JULIO_Buenos Aires,10,"25,57","12,86","3,43","67,57"
2022,9 DE JULIO_Buenos Aires,11,"26,76","13,37","1,57","65,43"
2022,9 DE JULIO_Buenos Aires,12,"23,53","12,04","8,14","80,86"
2022,9 DE JULIO_Buenos Aires,13,"22,40","8,64","0,00","58,00"
2022,9 DE JULIO_Buenos Aires,14,"26,26","11,40","2,29","70,86"
2022,9 DE JULIO_Buenos Aires,15,"21,81","8,54","0,00","68,00"
2022,9 DE JULIO_Buenos Aires,16,"24,14","10,16","4,29","68,57"
2022,9 DE JULIO_Buenos Aires,17,"19,03","7,99","3,00","61,14"
2022,9 DE JULIO_Buenos Aires,18,"21,64","6,70","0,00","72,43"
2022,9 DE JULIO_Buenos Aires,19,"18,94","7,77","0,00","71,71"
2022,9 DE JULIO_Buenos Aires,20,"17,77","5,21","0,00","72,00"
2022,9 DE JULIO_Buenos Aires,21,"14,43","5,86","0,57","75,86"
2022,9 DE JULIO_Buenos Aires,22,"13,74","1,04","0,00","72,43"
2022,9 DE JULIO_Buenos Aires,23,"16,60","2,46","0,00","74,43"
2022,9 DE JULIO_Buenos Aires,24,"16,49","3,96","0,00","71,86"
2022,9 DE JULIO_Buenos Aires,25,"11,36","1,70","0,00","76,00"
2022,9 DE JULIO_Buenos Aires,26,"15,94","3,83","0,06","72,29"
2022,9 DE JULIO_Buenos Aires,27,"16,09","4,66","0,00","71,43"
2022,9 DE JULIO_Buenos Aires,28,"13,89","3,33","0,00","73,83"
2022,9 DE JULIO_Buenos Aires,29,"17,87","4,96","0,09","72,57"
2022,9 DE JULIO_Buenos Aires,30,"18,77","8,39","2,86","78,57"
2022,9 DE JULIO_Buenos Aires,31,"17,00","5,41","0,00","77,14"
2022,9 DE JULIO_Buenos Aires,32,"19,41","4,57","3,14","75,86"
2022,9 DE JULIO_Buenos Aires,33,"17,36","4,34","0,29","64,00"
2022,9 DE JULIO_Buenos Aires,34,"22,34","6,23","0,00","68,00"
2022,9 DE JULIO_Buenos Aires,35,"21,66","5,07","0,00","62,14"
2022,9 DE JULIO_Buenos Aires,36,"21,93","5,07","0,00","49,17"
2022,9 DE JULIO_Buenos Aires,37,"24,94","8,67","0,00","50,00"
2022,9 DE JULIO_Buenos Aires,38,"20,06","7,07","0,00","62,86"
2022,9 DE JULIO_Buenos Aires,39,"24,64","7,86","0,00","49,00"
2022,9 DE JULIO_Buenos Aires,40,"23,94","8,13","0,90","51,86"
2022,9 DE JULIO_Buenos Aires,41,"22,97","6,63","0,00","53,00"
2022,9 DE JULIO_Buenos Aires,42,"23,39","9,81","1,19","66,50"
2022,9 DE JULIO_Buenos Aires,43,"26,16","12,30","9,98","61,17"
2022,9 DE JULIO_Buenos Aires,44,"26,74","9,34","0,00","44,00"
2022,9 DE JULIO_Buenos Aires,45,"27,81","14,33","4,21","62,17"
2022,9 DE JULIO_Buenos Aires,46,"29,94","16,04","2,16","60,17"
2022,9 DE JULIO_Buenos Aires,47,"31,50","13,46","0,00","48,86"
2022,9 DE JULIO_Buenos Aires,48,"32,61","16,64","2,57","51,00"
2022,9 DE JULIO_Buenos Aires,49,"36,36","19,69","3,71","44,29"
2022,9 DE JULIO_Buenos Aires,50,"31,24","14,41","0,43","38,86"
2022,9 DE JULIO_Buenos Aires,51,"31,30","16,53","5,86","49,43"
2022,9 DE JULIO_Buenos Aires,52,"33,45","16,08","1,50","44,63"
2022,AZUL_Buenos Aires,1,"30,70","13,16","0,00","54,00"
