Estacion,Año,Semana,TempMax,TempMin,Presion,Precipitacion,Humedad
9 DE JULIO_Buenos Aires,2019,1,"28,44","16,86","1.000,32","7,60","62,80"
9 DE JULIO_Buenos Aires,2019,2,"27,51","15,66","1.003,17","10,04","68,29"
9 DE JULIO_Buenos Aires,2019,3,"27,66","15,69","1.007,73","0,71","66,00"
9 DE JULIO_Buenos Aires,2019,4,"30,49","19,20","1.003,14","18,86","77,29"
9 DE JULIO_Buenos Aires,2019,5,"30,89","19,09","1.005,13","3,57","64,00"
9 DE JULIO_Buenos Aires,2019,6,"30,24","17,50","1.002,86","0,13","64,57"
9 DE JULIO_Buenos Aires,2019,7,"26,84","13,69","1.008,63","0,01","62,29"
9 DE JULIO_Buenos Aires,2019,8,"30,54","19,17","999,29","3,14","69,71"
9 DE JULIO_Buenos Aires,2019,9,"26,39","11,11","1.004,97","10,57","57,71"
9 DE JULIO_Buenos Aires,2019,10,"26,13","14,77","1.007,81","4,71","73,00"
9 DE JULIO_Buenos Aires,2019,11,"25,07","14,91","1.006,37","3,14","81,43"
9 DE JULIO_Buenos Aires,2019,12,"23,57","10,56","1.008,99","1,57","66,14"
9 DE JULIO_Buenos Aires,2019,13,"25,40","12,16","1.012,10","0,29","69,43"
9 DE JULIO_Buenos Aires,2019,14,"25,97","12,93","1.005,56","3,57","65,57"
9 DE JULIO_Buenos Aires,2019,15,"25,71","11,33","1.006,27","0,64","62,71"
9 DE JULIO_Buenos Aires,2019,16,"24,47","10,79","1.007,31","0,00","68,14"
9 DE JULIO_Buenos Aires,2019,17,"20,94","10,56","1.010,33","3,71","77,43"
9 DE JULIO_Buenos Aires,2019,18,"21,80","10,83","1.004,53","2,43","72,00"
9 DE JULIO_Buenos Aires,2019,19,"19,71","8,39","1.008,03","4,74","77,57"
9 DE JULIO_Buenos Aires,2019,20,"20,41","8,20","1.012,43","3,14","75,29"
9 DE JULIO_Buenos Aires,2019,21,"16,46","5,19","1.009,06","0,73","76,86"
9 DE JULIO_Buenos Aires,2019,22,"15,47","5,53","1.009,46","0,57","83,86"
9 DE JULIO_Buenos Aires,2019,23,"18,77","7,36","1.008,34","0,00","70,00"
9 DE JULIO_Buenos Aires,2019,24,"15,77","9,09","1.007,20","5,96","91,17"
9 DE JULIO_Buenos Aires,2019,25,"16,54","7,16","1.006,91","1,64","80,57"
